Date,basin,SWSI
1989-09-01,South_Platte,1.1
1989-09-01,Yampa_White_N_Platte,-2.2
1989-09-01,Arkansas,1.3
1989-09-01,Rio_Grande,-1.6
1989-09-01,San_Juan,-1.1
1989-10-01,Gunnison,-2.3
1989-10-01,Colorado,-0.5
1989-10-01,South_Platte,2
1989-10-01,Yampa_White_N_Platte,-3.2
1989-10-01,Arkansas,0
1989-10-01,Rio_Grande,-0.9
1989-10-01,San_Juan,-2.7
1989-11-01,Gunnison,-1.8
1989-11-01,Colorado,-1.7
1989-11-01,South_Platte,0.8
1989-11-01,Yampa_White_N_Platte,-3.8
1989-11-01,Arkansas,0
1989-11-01,Rio_Grande,0.3
1989-11-01,San_Juan,-2
1989-12-01,Gunnison,-2.5
1989-12-01,Colorado,-2.1
1989-12-01,South_Platte,-1.9
1989-12-01,Yampa_White_N_Platte,-1.5
1989-12-01,Arkansas,-2.5
1989-12-01,Rio_Grande,-3.3
1989-12-01,San_Juan,-2.8
1990-01-01,Gunnison,-2.6
1990-01-01,Colorado,-1.4
1990-01-01,South_Platte,-0.4
1990-01-01,Yampa_White_N_Platte,1.5
1990-01-01,Arkansas,-0.1
1990-01-01,Rio_Grande,-3.4
1990-01-01,San_Juan,-3.5
1990-02-01,Gunnison,-2.8
1990-02-01,Colorado,-2.6
1990-02-01,South_Platte,-0.5
1990-02-01,Yampa_White_N_Platte,-1.4
1990-02-01,Arkansas,-1.8
1990-02-01,Rio_Grande,-3.6
1990-02-01,San_Juan,-3.6
1990-03-01,Gunnison,-2.9
1990-03-01,Colorado,-2.6
1990-03-01,South_Platte,-1.6
1990-03-01,Yampa_White_N_Platte,-1.8
1990-03-01,Arkansas,-2.5
1990-03-01,Rio_Grande,-3.2
1990-03-01,San_Juan,-3.5
1990-04-01,Gunnison,-2.8
1990-04-01,Colorado,-1.9
1990-04-01,South_Platte,-0.5
1990-04-01,Yampa_White_N_Platte,-1.8
1990-04-01,Arkansas,-2.3
1990-04-01,Rio_Grande,-2.8
1990-04-01,San_Juan,-3.3
1990-05-01,Gunnison,-1.4
1990-05-01,Colorado,-1.7
1990-05-01,South_Platte,-0.8
1990-05-01,Yampa_White_N_Platte,-2.6
1990-05-01,Arkansas,-0.8
1990-05-01,Rio_Grande,-0.5
1990-05-01,San_Juan,-1.7
1990-06-01,Gunnison,-1.4
1990-06-01,Colorado,-2.5
1990-06-01,South_Platte,0.3
1990-06-01,Yampa_White_N_Platte,-3.8
1990-06-01,Arkansas,-0.7
1990-06-01,Rio_Grande,-1.7
1990-06-01,San_Juan,-2.1
1990-07-01,Gunnison,-1.9
1990-07-01,Colorado,-2.1
