Location;Parameter;Result;Units;Timestep;Aggregation;Datetime (UTC);timeStep;resultType
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/31/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/1/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/2/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/3/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/4/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/5/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/6/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/7/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/8/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/9/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/10/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/11/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/12/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/13/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/14/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/15/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/16/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/17/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/18/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/19/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/20/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/21/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/22/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/23/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/24/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/25/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/26/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/27/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/28/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/29/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/30/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;7/1/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;7/2/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;204;cfs;daily;average;7/3/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;343;cfs;daily;average;7/4/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;343;cfs;daily;average;7/5/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;408;cfs;daily;average;7/6/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;272;cfs;daily;average;7/7/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;7/8/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;7/9/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;7/10/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;248;cfs;daily;average;7/11/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;588;cfs;daily;average;7/12/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;855;cfs;daily;average;7/13/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;97;cfs;daily;average;7/14/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;7/15/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;7/16/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;7/17/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;50;cfs;daily;average;7/18/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;100;cfs;daily;average;7/19/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;100;cfs;daily;average;7/20/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;100;cfs;daily;average;7/21/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;100;cfs;daily;average;7/22/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;100;cfs;daily;average;7/23/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;100;cfs;daily;average;7/24/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;122;cfs;daily;average;7/25/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;143;cfs;daily;average;7/26/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;143;cfs;daily;average;7/27/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;143;cfs;daily;average;7/28/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;143;cfs;daily;average;7/29/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;143;cfs;daily;average;7/30/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;143;cfs;daily;average;7/31/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;143;cfs;daily;average;8/1/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;143;cfs;daily;average;8/2/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;143;cfs;daily;average;8/3/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;143;cfs;daily;average;8/4/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;143;cfs;daily;average;8/5/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;220;cfs;daily;average;8/6/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;286;cfs;daily;average;8/7/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;286;cfs;daily;average;8/8/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;286;cfs;daily;average;8/9/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;286;cfs;daily;average;8/10/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;286;cfs;daily;average;8/11/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;116;cfs;daily;average;8/12/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;8/13/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;8/14/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;8/15/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;8/16/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;8/17/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;8/18/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;8/19/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;8/20/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;8/21/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;8/22/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;8/23/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;8/24/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;8/25/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;8/26/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;8/27/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;8/28/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;8/29/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;8/30/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;8/31/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;9/1/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;9/2/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;9/3/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;9/4/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;167;cfs;daily;average;9/5/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;256;cfs;daily;average;9/6/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;256;cfs;daily;average;9/7/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;256;cfs;daily;average;9/8/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;256;cfs;daily;average;9/9/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;256;cfs;daily;average;9/10/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;256;cfs;daily;average;9/11/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;256;cfs;daily;average;9/12/08 7:00;day;observed
