"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=1984-10-01&before=2023-03-14&filename=Pueblo%20Reservoir%20and%20Dam%20Daily%20Lake%2FReservoir%20Release%20-%20Total-cfs%20Time%20Series%20Data%20%281984-10-01%20-%202023-03-14%29&itemId=684&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Pueblo Reservoir and Dam","CO","(-104.7181, 38.2597)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","998","cfs","daily","average","1985-02-21 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","998","cfs","daily","average","1985-02-22 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","998","cfs","daily","average","1985-02-23 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","998","cfs","daily","average","1985-02-24 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","920","cfs","daily","average","1985-02-25 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","770","cfs","daily","average","1985-02-26 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","712","cfs","daily","average","1985-02-27 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","681","cfs","daily","average","1985-02-28 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","707","cfs","daily","average","1985-03-01 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","734","cfs","daily","average","1985-03-02 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","734","cfs","daily","average","1985-03-03 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","734","cfs","daily","average","1985-03-04 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","734","cfs","daily","average","1985-03-05 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","599","cfs","daily","average","1985-03-06 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","555","cfs","daily","average","1985-03-07 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","550","cfs","daily","average","1985-03-08 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","591","cfs","daily","average","1985-03-09 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","712","cfs","daily","average","1985-03-10 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","716","cfs","daily","average","1985-03-11 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","700","cfs","daily","average","1985-03-12 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","623","cfs","daily","average","1985-03-13 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","600","cfs","daily","average","1985-03-14 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","600","cfs","daily","average","1985-03-15 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","600","cfs","daily","average","1985-03-16 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","669","cfs","daily","average","1985-03-17 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","783","cfs","daily","average","1985-03-18 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","778","cfs","daily","average","1985-03-19 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","814","cfs","daily","average","1985-03-20 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","869","cfs","daily","average","1985-03-21 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","919","cfs","daily","average","1985-03-22 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","937","cfs","daily","average","1985-03-23 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","939","cfs","daily","average","1985-03-24 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","970","cfs","daily","average","1985-03-25 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","987","cfs","daily","average","1985-03-26 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","948","cfs","daily","average","1985-03-27 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","891","cfs","daily","average","1985-03-28 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","891","cfs","daily","average","1985-03-29 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","891","cfs","daily","average","1985-03-30 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","891","cfs","daily","average","1985-03-31 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","891","cfs","daily","average","1985-04-01 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","928.17","cfs","daily","average","1985-04-02 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1471.87","cfs","daily","average","1985-04-03 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1875.25","cfs","daily","average","1985-04-04 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1644.12","cfs","daily","average","1985-04-05 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1735","cfs","daily","average","1985-04-06 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1825","cfs","daily","average","1985-04-07 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1873.33","cfs","daily","average","1985-04-08 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1905","cfs","daily","average","1985-04-09 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","2180","cfs","daily","average","1985-04-10 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1986.25","cfs","daily","average","1985-04-11 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1731.87","cfs","daily","average","1985-04-12 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","2445","cfs","daily","average","1985-04-13 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","2291.67","cfs","daily","average","1985-04-14 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1913.75","cfs","daily","average","1985-04-15 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1323","cfs","daily","average","1985-04-16 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1316.75","cfs","daily","average","1985-04-17 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1489.04","cfs","daily","average","1985-04-18 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1694.25","cfs","daily","average","1985-04-19 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1673","cfs","daily","average","1985-04-20 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1435.71","cfs","daily","average","1985-04-21 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1203.52","cfs","daily","average","1985-04-22 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1093","cfs","daily","average","1985-04-23 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1081.75","cfs","daily","average","1985-04-24 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1046.35","cfs","daily","average","1985-04-25 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1053.38","cfs","daily","average","1985-04-26 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1063","cfs","daily","average","1985-04-27 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1063","cfs","daily","average","1985-04-28 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1197.54","cfs","daily","average","1985-04-29 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","2194","cfs","daily","average","1985-04-30 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","2430.25","cfs","daily","average","1985-05-01 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1822.13","cfs","daily","average","1985-05-02 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1879.67","cfs","daily","average","1985-05-03 19:00:00"
