Basin,HUC8,HUC8 Name,Report Year,Report Month,Component Type,Component ID,Component Name,Component Volume,Component NEP
Yampa-White,14050001,Upper Yampa,2018,4,ForecastedRunoff,09246200,ELKHEAD CREEK ABOVE LONG GULCH,34000.00,17.01
Yampa-White,14050001,Upper Yampa,2018,4,ReservoirStorage,09237495,STAGECOACH RESERVOIR NR OAK CREEK,35200.00,98.51
Yampa-White,14050001,Upper Yampa,2018,4,ReservoirStorage,YAMRESCO,YAMCOLO RESERVOIR,8279.00,72.87
Yampa-White,14050002,Lower Yampa,2018,4,ForecastedRunoff,09251000,YAMPA RIVER NEAR MAYBELL,575000.00,25.19
Yampa-White,14050003,Little Snake,2018,4,ForecastedRunoff,09260000,LITTLE SNAKE RIVER NEAR LILY,178000.00,18.14
Yampa-White,14050005,Upper White,2018,4,ForecastedRunoff,09304500,WHITE RIVER NEAR MEEKER,150000.00,12.04
Arkansas,11020001,Arkansas Headwaters,2018,5,ForecastedRunoff,07091500,ARKANSAS RIVER AT SALIDA,161000.00,15.15
Arkansas,11020001,Arkansas Headwaters,2018,5,ReservoirStorage,07007020,CLEAR CREEK RESERVOIR,8115.00,66.88
Arkansas,11020001,Arkansas Headwaters,2018,5,ReservoirStorage,07007110,TURQUOISE LAKE,73919.00,76.43
Arkansas,11020001,Arkansas Headwaters,2018,5,ReservoirStorage,07007120,TWIN LAKES RESERVOIR,43717.00,72.95
Arkansas,11020001,Arkansas Headwaters,2018,5,ReservoirStorage,09009040,HOMESTAKE RESERVOIR,35720.00,93.71
Arkansas,11020002,Upper Arkansas,2018,5,ForecastedRunoff,07099400,PUEBLO RESERVOIR INFLOW,175000.00,8.12
Arkansas,11020002,Upper Arkansas,2018,5,ReservoirStorage,07007090,PUEBLO RESERVOIR,231400.00,76.15
Arkansas,11020005,Upper Arkansas-Lake Meredith,2018,5,ForecastedRunoff,07099400,PUEBLO RESERVOIR INFLOW,175000.00,8.12
Arkansas,11020005,Upper Arkansas-Lake Meredith,2018,5,ForecastedRunoff,07111000,HUERFANO RIVER NEAR REDWING,2800.00,2.85
Arkansas,11020005,Upper Arkansas-Lake Meredith,2018,5,ForecastedRunoff,07114000,CUCHARAS RIVER AT BOYD RANCH NR LA VETA,2300.00,7.53
Arkansas,11020005,Upper Arkansas-Lake Meredith,2018,5,ReservoirStorage,07007070,MEREDITH RESERVOIR,38662.00,83.92
Arkansas,11020005,Upper Arkansas-Lake Meredith,2018,5,ReservoirStorage,07007130,LAKE HENRY,8831.00,97.00
Arkansas,11020006,Huerfano,2018,5,ForecastedRunoff,07111000,HUERFANO RIVER NEAR REDWING,2800.00,2.85
Arkansas,11020006,Huerfano,2018,5,ForecastedRunoff,07114000,CUCHARAS RIVER AT BOYD RANCH NR LA VETA,2300.00,7.53
Arkansas,11020006,Huerfano,2018,5,ReservoirStorage,07007030,CUCHARAS RESERVOIR,0.00,12.69
Arkansas,11020009,Upper Arkansas-John Martin Reservoir,2018,5,ForecastedRunoff,07099400,PUEBLO RESERVOIR INFLOW,175000.00,8.12
Arkansas,11020009,Upper Arkansas-John Martin Reservoir,2018,5,ForecastedRunoff,07111000,HUERFANO RIVER NEAR REDWING,2800.00,2.85
Arkansas,11020009,Upper Arkansas-John Martin Reservoir,2018,5,ForecastedRunoff,07114000,CUCHARAS RIVER AT BOYD RANCH NR LA VETA,2300.00,7.53
Arkansas,11020009,Upper Arkansas-John Martin Reservoir,2018,5,ForecastedRunoff,07124500,PURGATOIRE RIVER AT TRINIDAD,7000.00,3.40
Arkansas,11020009,Upper Arkansas-John Martin Reservoir,2018,5,ReservoirStorage,07007010,ADOBE CREEK RESERVOIR,43450.00,59.75
Arkansas,11020009,Upper Arkansas-John Martin Reservoir,2018,5,ReservoirStorage,07007060,JOHN MARTIN RESERVOIR,289508.00,86.59
Arkansas,11020010,Purgatoire,2018,5,ForecastedRunoff,07124500,PURGATOIRE RIVER AT TRINIDAD,7000.00,3.40
Arkansas,11020010,Purgatoire,2018,5,ReservoirStorage,07007100,TRINIDAD LAKE,36880.00,84.61
Colorado,14010001,Colorado Headwaters,2018,5,ForecastedRunoff,09070500,COLORADO RIVER NEAR DOTSERO,1040000.00,30.08
Colorado,14010001,Colorado Headwaters,2018,5,ReservoirStorage,09009150,WILLIAMS FORK RESERVOIR,70200.00,84.05
Colorado,14010001,Colorado Headwaters,2018,5,ReservoirStorage,09041395,WOLFORD MOUNTAIN RESERVOIR,55960.00,85.57
Colorado,14010002,Blue,2018,5,ForecastedRunoff,09057500,BLUE RIVER INFLOW TO GREEN MOUNTAIN RES,250000.00,46.20
Colorado,14010002,Blue,2018,5,ReservoirStorage,09009030,GREEN MOUNTAIN RESERVOIR,56166.00,49.44
Colorado,14010003,Eagle,2018,5,ForecastedRunoff,09070000,EAGLE RIVER BELOW GYPSUM,250000.00,31.64
Colorado,14010004,Roaring Fork,2018,5,ForecastedRunoff,09085000,ROARING FORK AT GLENWOOD SPRINGS,345000.00,6.37
Colorado,14010004,Roaring Fork,2018,5,ReservoirStorage,09009110,RUEDI RESERVOIR,67326.00,71.45
Colorado,14010005,Colorado Headwaters-Plateau,2018,5,ForecastedRunoff,09095500,COLORADO RIVER NEAR CAMEO,1560000.00,24.29
Colorado,14010005,Colorado Headwaters-Plateau,2018,5,ReservoirStorage,09009140,VEGA RESERVOIR,15057.00,36.14
Gunnison,14020001,East-Taylor,2018,5,ForecastedRunoff,09109209,TAYLOR R INF TO TAYLOR PARK RESERVOIR,53000.00,8.48
Gunnison,14020001,East-Taylor,2018,5,ForecastedRunoff,09112500,EAST RIVER AT ALMONT,101000.00,11.11
Gunnison,14020001,East-Taylor,2018,5,ReservoirStorage,09009120,TAYLOR PARK RESERVOIR,71787.00,78.24
Gunnison,14020002,Upper Gunnison,2018,5,ForecastedRunoff,09124500,"LAKE FORK AT GATEVIEW, CO",49000.00,5.42
Gunnison,14020002,Upper Gunnison,2018,5,ForecastedRunoff,09124800,GUNNISON R INF TO BLUE MESA RESERVOIR,300000.00,8.14
