"","basin","report_year","report_month","swsi","nep","swsi_previous_month","change_from_previous_month","swsi_previous_year","change_from_previous_year"
"241","Gunnison",2013,8,-3.58,7,-3.53,-0.05,-3.64,0.06
"242","Rio Grande",2013,8,-3.26,10.92,-3.66,0.4,-2.91,-0.35
"243","San Juan-Dolores",2013,8,-2.66,18.02,-3.26,0.6,-1.92,-0.74
"244","South Platte",2013,8,-2.54,19.58,-2.95,0.41,-3.63,1.09
"245","Yampa-White",2013,8,-2.3,22.43,-2.17,-0.13,-3.59,1.29
"246","Arkansas",2013,9,-1.74,29.12,-2.42,0.68,-1.74,0
"247","Colorado",2013,9,-2.66,18.11,-2.52,-0.14,-3.56,0.9
"248","Gunnison",2013,9,-3.41,9.1,-3.58,0.17,-3.63,0.22
"249","Rio Grande",2013,9,-0.63,42.46,-3.26,2.63,-2.75,2.12
"250","San Juan-Dolores",2013,9,-1.48,32.27,-2.66,1.18,-0.99,-0.49
"251","South Platte",2013,9,-2.75,17.04,-2.54,-0.21,-3.4,0.65
"252","Yampa-White",2013,9,-1.07,37.11,-2.3,1.23,-2.67,1.6
"253","Arkansas",2013,10,-1.51,31.94,-1.74,0.23,-1.2,-0.31
"254","Colorado",2013,10,-0.09,48.91,-2.66,2.57,-3.69,3.6
"255","Gunnison",2013,10,-3.5,7.99,-3.41,-0.08,-3.61,0.11
"256","Rio Grande",2013,10,-1.93,26.86,-0.63,-1.3,-1.88,-0.05
"257","San Juan-Dolores",2013,10,-0.56,43.27,-1.48,0.92,-0.63,0.07
"258","South Platte",2013,10,-0.53,43.64,-2.75,2.22,-3.25,2.72
"259","Yampa-White",2013,10,2.82,83.88,-1.07,3.89,0.33,2.49
"260","Arkansas",2013,11,-1.41,33.04,-1.51,0.1,-1.5,0.09
"261","Colorado",2013,11,1.31,65.74,-0.09,1.4,-3.69,5
"262","Gunnison",2013,11,-3.43,8.79,-3.5,0.06,-3.6,0.17
"263","Rio Grande",2013,11,-1.51,31.86,-1.93,0.42,-1.6,0.09
"264","San Juan-Dolores",2013,11,-0.21,47.48,-0.56,0.35,-0.62,0.41
"265","South Platte",2013,11,1.35,66.26,-0.53,1.88,-3.42,4.77
"266","Yampa-White",2013,11,2.57,80.85,2.82,-0.25,0.37,2.2
"267","Arkansas",2013,12,-1.38,33.45,-1.41,0.03,-1.58,0.2
"268","Colorado",2013,12,2.46,79.55,1.31,1.15,-3.68,6.14
"269","Gunnison",2013,12,-3.39,9.34,-3.43,0.04,-3.59,0.2
"270","Rio Grande",2013,12,-0.61,42.66,-1.51,0.9,-1.93,1.32
"271","San Juan-Dolores",2013,12,-0.03,49.63,-0.21,0.18,-0.63,0.6
"272","South Platte",2013,12,1.83,72,1.35,0.48,-3.39,5.22
"273","Yampa-White",2013,12,3.18,88.13,2.57,0.61,0.41,2.77
"274","Arkansas",2014,1,-0.42,44.91,-1.38,0.96,-2.24,1.82
"275","Colorado",2014,1,-0.54,43.58,2.46,-3,-2.71,2.17
"276","Gunnison",2014,1,-0.47,44.4,-3.39,2.92,-3.33,2.86
"277","Rio Grande",2014,1,-0.31,46.3,-0.61,0.3,-2.4,2.09
"278","San Juan-Dolores",2014,1,-0.23,47.28,-0.03,-0.2,-2.61,2.38
"279","South Platte",2014,1,1,62.03,1.83,-0.83,-3.35,4.35
