abbrev,Date Time,DISCHRG Value,DISCHRG Units,DISCHRG Review Status,DISCHRG Observation Flag,DISCHRG Modified,
"BOCBGRCO","=""01/19/1987 00:00""","86.6","cfs","","","=""01/19/1987 23:45""",
"BOCBGRCO","=""01/20/1987 00:00""","82.1","cfs","","","=""01/20/1987 23:45""",
"BOCBGRCO","=""01/21/1987 00:00""","79.9","cfs","","","=""01/21/1987 23:45""",
"BOCBGRCO","=""01/22/1987 00:00""","79.2","cfs","","","=""01/22/1987 23:45""",
"BOCBGRCO","=""01/23/1987 00:00""","78.7","cfs","","","=""01/23/1987 23:45""",
"BOCBGRCO","=""01/24/1987 00:00""","78.6","cfs","","","=""01/24/1987 23:45""",
"BOCBGRCO","=""01/25/1987 00:00""","78.6","cfs","","","=""01/25/1987 23:45""",
"BOCBGRCO","=""01/26/1987 00:00""","78.6","cfs","","","=""01/26/1987 23:45""",
"BOCBGRCO","=""01/27/1987 00:00""","78.6","cfs","","","=""01/27/1987 23:45""",
"BOCBGRCO","=""01/28/1987 00:00""","78.7","cfs","","","=""01/28/1987 23:45""",
"BOCBGRCO","=""01/29/1987 00:00""","78.6","cfs","","","=""01/29/1987 23:45""",
"BOCBGRCO","=""01/30/1987 00:00""","81.3","cfs","","","=""01/30/1987 23:45""",
"BOCBGRCO","=""01/31/1987 00:00""","82.9","cfs","","","=""01/31/1987 23:45""",
"BOCBGRCO","=""02/01/1987 00:00""","82.7","cfs","","","=""02/01/1987 23:45""",
"BOCBGRCO","=""02/02/1987 00:00""","82.8","cfs","","","=""02/02/1987 23:45""",
"BOCBGRCO","=""02/03/1987 00:00""","82.9","cfs","","","=""02/03/1987 23:45""",
"BOCBGRCO","=""02/04/1987 00:00""","82.9","cfs","","","=""02/04/1987 23:45""",
"BOCBGRCO","=""02/05/1987 00:00""","82.8","cfs","","","=""02/05/1987 23:45""",
"BOCBGRCO","=""02/06/1987 00:00""","82.9","cfs","","","=""02/06/1987 23:45""",
"BOCBGRCO","=""02/07/1987 00:00""","82.1","cfs","","","=""02/07/1987 23:45""",
"BOCBGRCO","=""02/08/1987 00:00""","81.5","cfs","","","=""02/08/1987 23:45""",
"BOCBGRCO","=""02/09/1987 00:00""","81.8","cfs","","","=""02/09/1987 23:45""",
"BOCBGRCO","=""02/10/1987 00:00""","81.4","cfs","","","=""02/10/1987 23:45""",
"BOCBGRCO","=""02/11/1987 00:00""","81.4","cfs","","","=""02/11/1987 23:45""",
"BOCBGRCO","=""02/12/1987 00:00""","81.4","cfs","","","=""02/12/1987 23:45""",
"BOCBGRCO","=""02/13/1987 00:00""","81.4","cfs","","","=""02/13/1987 23:45""",
"BOCBGRCO","=""02/14/1987 00:00""","81.4","cfs","","","=""02/14/1987 23:45""",
